LULC_code,nir,red,blue,green,emad,smad,bcmad,nir08,nir09,swir16,swir22,coastal,rededge1,rededge2,rededge3,mndwi,ndti,cai,ndvi,evi,savi,ndwi,b_g,b_r,swir22_swir16,mci,ndci,nbi,ndmi,bsi,awei,tc_wetness,y,x
2,0.3239,0.021,0.0258,0.0412,0.07783312,6.363392e-08,6.526521e-06,0.3675,0.34740000000000004,0.1218,0.05,0.027100000000000003,0.0799,0.2631,0.33330000000000004,-0.494478527607362,-0.3247588424437299,0.024574669187145605,0.8782255726297477,0.6277857370264248,0.8782255726297477,-0.7743084086551629,0.6262135922330097,1.2285714285714284,0.41050903119868637,4.053817271589487,0.5837462834489593,-0.4534440206416872,0.4534440206416872,-0.6624673163774661,-0.5272500000000001,-0.05292395,-2043015.0,3078345.0
2,0.3628,0.029400000000000003,0.032100000000000004,0.051500000000000004,0.07883079,1.2931824e-07,5.8544256e-06,0.40190000000000003,0.3775,0.1327,0.059300000000000005,0.0308,0.0964,0.2922,0.3659,-0.44082519001085774,-0.273176761433869,-0.020667726550079528,0.8500764915859257,0.6758827833185722,0.8500764915859257,-0.7513878831764422,0.6233009708737864,1.0918367346938775,0.4468726450640543,3.763485477178423,0.5325914149443561,-0.4643794147325933,0.4643794147325933,-0.6331679073614558,-0.5675750000000002,-0.05118077000000001,-2042975.0,3089715.0
2,0.25720000000000004,0.0158,0.0212,0.0324,0.07568036,1.5749931e-07,5.134164e-06,0.3653,0.387,0.1408,0.0585,0.0275,0.0847,0.2728,0.3357,-0.625866050808314,-0.3443983402489626,0.1293634496919918,0.8842490842490843,0.5257334450963957,0.8842490842490843,-0.776243093922652,0.654320987654321,1.341772151898734,0.41548295454545453,3.0365997638724918,0.6855721393034825,-0.292462311557789,0.292462311557789,-0.578678763821945,-0.480175,-0.06050757,-2042965.0,3091135.0
2,0.2933,0.0222,0.0256,0.0444,0.092907995,1.10489125e-07,6.8099243e-06,0.3427,0.3674,0.128,0.0528,0.026500000000000003,0.0862,0.2511,0.3103,-0.4849187935034803,-0.3333333333333333,0.017274472168905975,0.8592709984152139,0.575982179019846,0.8592709984152139,-0.7370447142434113,0.5765765765765766,1.1531531531531531,0.4125,3.402552204176334,0.5904059040590406,-0.3923569902682174,0.3923569902682174,-0.6191926884996192,-0.48215,-0.04822003000000001,-2042965.0,3092555.0
2,0.34890000000000004,0.026500000000000003,0.0274,0.0529,0.06005745,1.0027289e-07,3.9141432e-06,0.3506,0.31870000000000004,0.1527,0.0658,0.024900000000000002,0.0921,0.2619,0.3148,-0.48540856031128404,-0.3324937027707809,-0.04780114722753344,0.8588172615876397,0.6493780712530713,0.8588172615876397,-0.7366849178695869,0.5179584120982986,1.0339622641509434,0.43091028159790434,3.7882736156351795,0.5531197301854973,-0.39114832535885175,0.39114832535885175,-0.6060606060606061,-0.5763,-0.06267199,-2041555.0,3089705.0
2,0.26130000000000003,0.019200000000000002,0.0216,0.0371,0.0669344,7.620751e-08,5.8060014e-06,0.30510000000000004,0.3287,0.1277,0.054200000000000005,0.0238,0.07730000000000001,0.22310000000000002,0.2748,-0.5497572815533981,-0.31793960923623443,0.04845814977973569,0.8631016042780749,0.5220666941128037,0.8631016042780749,-0.7513404825737265,0.5822102425876011,1.125,0.42443226311667975,3.3803363518758087,0.6020725388601037,-0.3434447300771209,0.3434447300771209,-0.5879876508560201,-0.45560000000000006,-0.05332880999999999,-2041545.0,3091125.0
2,0.3252,0.027,0.030100000000000002,0.049300000000000004,0.087993056,1.0148287e-07,6.1041665e-06,0.3783,0.386,0.15360000000000001,0.06860000000000001,0.0302,0.0883,0.2753,0.3451,-0.5140463282405126,-0.2922673656618611,0.0016583747927031408,0.8466780238500851,0.6230924729477981,0.8466780238500851,-0.7367156208277703,0.6105476673427992,1.114814814814815,0.44661458333333337,3.682899207248018,0.5316565481352993,-0.35839598997493727,0.35839598997493727,-0.5759591927256598,-0.5477,-0.06684900000000002,-2043005.0,3082605.0
2,0.32380000000000003,0.027,0.026500000000000003,0.045200000000000004,0.07531536,9.3090534e-08,5.791332e-06,0.37260000000000004,0.38130000000000003,0.1565,0.0716,0.0262,0.0863,0.2702,0.339,-0.5518096182449183,-0.25207756232686984,-0.00569259962049339,0.8460661345496008,0.6079794879763801,0.8460661345496008,-0.7550135501355013,0.5862831858407079,0.9814814814814816,0.4575079872204473,3.752027809965238,0.5233892321270963,-0.34832396418904854,0.34832396418904854,-0.5607039429717086,-0.56305,-0.07246283,-2042995.0,3084035.0
2,0.3623,0.0206,0.0218,0.043500000000000004,0.056731157,4.0876863e-08,3.8733597e-06,0.4169,0.39530000000000004,0.13770000000000002,0.055200000000000006,0.0261,0.09340000000000001,0.3033,0.3789,-0.5198675496688742,-0.3572542901716069,0.08977035490605433,0.892400104465918,0.6693511796733213,0.892400104465918,-0.7856086742237556,0.5011494252873563,1.058252427184466,0.4008714596949891,3.8790149892933616,0.63859649122807,-0.4492,0.4492,-0.6703631224179171,-0.60565,-0.05966998999999999,-2042995.0,3085455.0
2,0.3065,0.0205,0.0221,0.038700000000000005,0.12253933,1.1292099e-07,8.637758e-06,0.37270000000000003,0.3849,0.1326,0.054400000000000004,0.026000000000000002,0.0864,0.2721,0.3373,-0.5481611208406304,-0.3074324324324325,0.08108108108108109,0.874617737003058,0.590108803165183,0.874617737003058,-0.7757821552723059,0.5710594315245477,1.078048780487805,0.4102564102564103,3.5474537037037033,0.6164639850327408,-0.39603734912320654,0.39603734912320654,-0.6287484510532837,-0.5261999999999999,-0.05584794999999997,-2042985.0,3086875.0
2,0.3502,0.028800000000000003,0.032100000000000004,0.053700000000000005,0.10939233,1.0938048e-07,8.100661e-06,0.3931,0.3795,0.14,0.059800000000000006,0.0324,0.0979,0.2904,0.3587,-0.44553433144037174,-0.3018181818181818,0.004651162790697592,0.8480211081794196,0.6603236498342757,0.8480211081794196,-0.7340925971775191,0.5977653631284916,1.1145833333333333,0.42714285714285716,3.5771195097037793,0.5453827940015784,-0.4288045695634435,0.4288045695634435,-0.6236992992142705,-0.554,-0.051106789999999985,-2042975.0,3088295.0
2,0.3255,0.027100000000000003,0.029300000000000003,0.0504,0.094133236,6.68019e-08,5.488827e-06,0.3684,0.376,0.1743,0.079,0.030600000000000002,0.096,0.27640000000000003,0.3346,-0.5514018691588786,-0.30064516129032254,0.021702838063439048,0.8462847419171865,0.6202152402727954,0.8462847419171865,-0.7318435754189945,0.5813492063492064,1.081180811808118,0.45324153757888697,3.390625,0.5597075548334688,-0.3025210084033613,0.3025210084033613,-0.5395964417444131,-0.57465,-0.07525629999999997,-2041585.0,3082605.0
2,0.3305,0.019100000000000002,0.0213,0.0426,0.06795084,5.3858756e-08,4.8307925e-06,0.34650000000000003,0.3733,0.11670000000000001,0.046200000000000005,0.0284,0.0862,0.2526,0.3144,-0.46516007532956694,-0.3808752025931928,0.1428571428571429,0.8907322654462242,0.627961255689112,0.8907322654462242,-0.7716429911551864,0.5,1.1151832460732982,0.39588688946015427,3.8341067285382833,0.6372269705603038,-0.4780858676207513,0.4780858676207513,-0.686885638935507,-0.5314500000000001,-0.04517327,-2041575.0,3084025.0
2,0.30010000000000003,0.0227,0.023,0.0386,0.101628385,6.192327e-08,6.5532704e-06,0.3699,0.3624,0.14300000000000002,0.061000000000000006,0.0223,0.07100000000000001,0.2554,0.3347,-0.5748898678414097,-0.2593800978792822,-0.015452538631346562,0.8593556381660471,0.5756844437410983,0.8593556381660471,-0.7720696781812812,0.5958549222797928,1.0132158590308369,0.42657342657342656,4.226760563380282,0.5154749199573107,-0.35454750620627395,0.35454750620627395,-0.588495575221239,-0.5299,-0.07278226,-2043015.0,3079765.0
2,0.3272,0.0179,0.0198,0.0391,0.099229135,3.4570693e-08,6.6244556e-06,0.3678,0.36660000000000004,0.12380000000000001,0.048600000000000004,0.0189,0.0795,0.2612,0.3321,-0.5199508901166359,-0.37192982456140355,-0.023255813953488413,0.896261953057085,0.6221133659902028,0.896261953057085,-0.7865137865137863,0.5063938618925832,1.106145251396648,0.39256865912762523,4.1157232704402515,0.6324435318275154,-0.4509977827050997,0.4509977827050997,-0.6783555018137847,-0.5468,-0.056624579999999994,-2043005.0,3081185.0
