LULC_code,nir,red,blue,green,emad,smad,bcmad,nir08,nir09,swir16,swir22,coastal,rededge1,rededge2,rededge3,mndwi,ndti,cai,ndvi,evi,savi,ndwi,b_g,b_r,swir22_swir16,mci,ndci,nbi,ndmi,bsi,awei,tc_wetness,y,x
3.0,0.43270000000000003,0.056,0.0521,0.0911,0.09050532,8.7711214e-08,4.9841133e-06,0.35100000000000003,0.3126,0.2225,0.1452,0.0684,0.1494,0.29500000000000004,0.33480000000000004,-0.41900510204081637,-0.23861318830727393,0.13526970954356848,0.7708205443012073,0.7444029173772633,0.7708205443012073,-0.6521573119511264,0.5718990120746432,0.9303571428571429,0.6525842696629213,2.896251673360107,0.4547224926971763,-0.32081807081807084,0.32081807081807084,-0.41341107871720123,-0.66665,-0.08151828000000001,-2041705.0,3167325.0
3.0,0.3855,0.0645,0.053000000000000005,0.0848,0.07680272,1.6126334e-07,4.7224207e-06,0.378,0.3658,0.21910000000000002,0.14120000000000002,0.0661,0.1653,0.3042,0.35850000000000004,-0.4419216847647253,-0.13596784996651037,0.10999160369437447,0.7133333333333334,0.654,0.7133333333333334,-0.639379119710823,0.6250000000000001,0.8217054263565892,0.6444545869465997,2.3321234119782215,0.4386422976501305,-0.27522328812437974,0.27522328812437974,-0.36137845389630546,-0.6066,-0.06734341,-2041755.0,3167355.0
3.0,0.4207,0.0417,0.0361,0.0618,0.117911264,1.8414258e-07,6.213644e-06,0.46240000000000003,0.3808,0.20170000000000002,0.1018,0.0844,0.1216,0.35700000000000004,0.4383,-0.5309297912713473,-0.19420289855072462,0.4008298755186722,0.819636678200692,0.7213869942506159,0.819636678200692,-0.7438341968911917,0.5841423948220065,0.8657074340527577,0.5047099652949926,3.4597039473684212,0.48928352725045926,-0.35186375321336755,0.35186375321336755,-0.5219057138097618,-0.7175500000000001,-0.08316394999999999,-2041785.0,3167335.0
3.0,0.45730000000000004,0.0388,0.035500000000000004,0.0627,0.12676813,1.2769699e-07,6.5540125e-06,0.46740000000000004,0.3766,0.19290000000000002,0.09240000000000001,0.0821,0.1143,0.3634,0.442,-0.5093896713615023,-0.23546798029556654,0.39625850340136054,0.8435799234025398,0.7756786178319346,0.8435799234025398,-0.758846153846154,0.5661881977671451,0.9149484536082475,0.47900466562986005,4.000874890638671,0.49314173742651857,-0.4066441095047677,0.4066441095047677,-0.5794871794871795,-0.7599500000000001,-0.08181767000000004,-2041795.0,3167325.0
3.0,0.3922,0.0363,0.0356,0.062200000000000005,0.1464151,1.5060306e-07,8.3099485e-06,0.4163,0.34650000000000003,0.1864,0.09140000000000001,0.0688,0.10990000000000001,0.3247,0.3924,-0.499597747385358,-0.2629441624365483,0.31800766283524906,0.8305717619603267,0.7030528667163067,0.8305717619603267,-0.726232394366197,0.5723472668810289,0.9807162534435262,0.490343347639485,3.56869881710646,0.503419972640219,-0.3556861389561009,0.3556861389561009,-0.5402340234023403,-0.6539499999999999,-0.07568064,-2041795.0,3167305.0
3.0,0.4661,0.041600000000000005,0.0379,0.0685,0.15121779,1.6655922e-07,7.3762512e-06,0.41600000000000004,0.3462,0.186,0.091,0.06860000000000001,0.1092,0.3241,0.39180000000000004,-0.4616895874263261,-0.24432334241598547,0.2882629107981221,0.8361236950955288,0.7849732788431312,0.8361236950955288,-0.7437336326225216,0.5532846715328468,0.9110576923076923,0.489247311827957,4.268315018315018,0.4482758620689654,-0.42953534733936516,0.42953534733936516,-0.5834118755890669,-0.7462500000000001,-0.07797497,-2041785.0,3167305.0
3.0,0.4466,0.0371,0.0345,0.0634,0.08769215,1.4903843e-07,4.693091e-06,0.41550000000000004,0.35250000000000004,0.22,0.1255,0.0659,0.1463,0.32680000000000003,0.38880000000000003,-0.5525758645024701,-0.2616915422885572,0.3127490039840637,0.8465991316931982,0.7652876741465491,0.8465991316931982,-0.7513725490196078,0.5441640378548896,0.9299191374663073,0.5704545454545454,3.052631578947368,0.5954198473282444,-0.33993399339933994,0.33993399339933994,-0.49479571228833313,-0.775525,-0.09293532999999995,-2041775.0,3167295.0
3.0,0.3561,0.0775,0.0611,0.09480000000000001,0.07630227,9.865165e-08,4.9416926e-06,0.3541,0.3521,0.2272,0.13390000000000002,0.0663,0.1363,0.2842,0.3295,-0.4111801242236025,-0.10040626813697046,0.040816326530612214,0.6425276752767527,0.5963605679275049,0.6425276752767527,-0.5795076513639388,0.6445147679324894,0.7883870967741936,0.5893485915492959,2.6126192223037417,0.2750233863423761,-0.2209840562317847,0.2209840562317847,-0.3273942093541202,-0.543375,-0.07103119000000002,-2041765.0,3167285.0
5.0,0.3356,0.0876,0.06620000000000001,0.0988,0.09319167,1.4775395e-07,6.0523503e-06,0.28040000000000004,0.31010000000000004,0.23470000000000002,0.18330000000000002,0.11670000000000001,0.19190000000000002,0.2444,0.266,-0.407496251874063,-0.06008583690987125,0.2761071623838163,0.5860113421550094,0.5505972008500036,0.5860113421550094,-0.5451197053406999,0.6700404858299596,0.7557077625570777,0.7809970174691095,1.7488275143303804,0.37316636851520574,-0.17692442574083814,0.17692442574083814,-0.19458896982310095,-0.496425,-0.05775297,-2041885.0,3167325.0
5.0,0.276,0.1645,0.1422,0.1595,0.06948268,1.3517737e-07,3.9134125e-06,0.2922,0.2983,0.2305,0.1774,0.11380000000000001,0.2097,0.2609,0.28250000000000003,-0.18205128205128207,0.015432098765432112,-0.11093749999999993,0.25312145289443816,0.4391976598412035,0.25312145289443816,-0.2675086107921929,0.8915360501567398,0.8644376899696048,0.7696312364425163,1.3161659513590844,0.12079102084446817,-0.08983218163869695,0.08983218163869695,-0.10038152874621765,-0.1744500000000001,0.012918539999999971,-2041845.0,3167315.0
